age,category,citizenship,company.name,company.type,country code,founded,from emerging,gdp,gender,industry,inherited,name,rank,region,relationship,sector,was founder,was political,wealth.type,worth in billions,year
-1,Financial,Saudi Arabia,Rolaco Trading and Contracting Company,new,SAU,1968,TRUE,1.58E+11,male,Money Management,TRUE,Abdul Aziz Al-Sulaiman,404,Middle East/North Africa,founder,construction,TRUE,FALSE,self-made finance,1,1996
34,Financial,United States,Fidelity Investments,new,USA,1946,TRUE,8.1E+12,female,Money Management,TRUE,Abigail Johnson,145,North America,relation,investment banking,TRUE,FALSE,inherited,2.5,1996
59,Non-Traded Sectors,Brazil,Companhia Brasileira de Distribui?ao,new,BRA,1948,TRUE,8.54E+11,male,"Retail, Restaurant",TRUE,Abilio dos Santos Diniz,322,Latin America,relation,retail,TRUE,FALSE,inherited,1.2,1996
61,New Sectors,Germany,Ratiopharm,new,DEU,1881,TRUE,2.5E+12,male,Technology-Medical,TRUE,Adolf Merckle,388,Europe,relation,pharmaceuticals,TRUE,FALSE,inherited,1,1996
-1,Financial,Hong Kong,Swire,new,HKG,1816,TRUE,1.6E+11,male,Money Management,TRUE,Adrian and John Swire,162,East Asia,relation,trading company,TRUE,FALSE,inherited,2.2,1996
-1,Traded Sectors,Bahrain,YBA Kanoo,new,BHR,1890,TRUE,6100000000,male,Consumer,TRUE,Ahmed Ali Kanoo,383,Middle East/North Africa,relation,shipping,TRUE,TRUE,inherited,1,1996
-1,New Sectors,Japan,Otsuka Holdings,new,JPN,1921,TRUE,4.71E+12,male,Technology-Medical,TRUE,Akihiko Otsuka,164,East Asia,relation,pharmaceuticals,TRUE,FALSE,inherited,2.2,1996
-1,Traded Sectors,Japan,Sony,new,JPN,1946,TRUE,4.71E+12,male,Consumer,TRUE,Akio Morita,156,East Asia,founder,technology,TRUE,FALSE,founder non-finance,2.3,1996
66,Financial,Japan,Mori Building,new,JPN,1959,TRUE,4.71E+12,male,Real Estate,TRUE,Akira Mori,60,East Asia,relation,construction,TRUE,FALSE,inherited,3.9,1996
-1,Traded Sectors,France,Chanel,new,FRA,1909,TRUE,1.61E+12,male,Consumer,TRUE,Alain Wertheimer,187,Europe,relation,luxury goods,TRUE,FALSE,inherited,2,1996
70,Non-Traded Sectors,United States,Univision,aquired,USA,1955,TRUE,1.06E+13,male,Media,TRUE,A Jerrold Perenchio,151,North America,former chairman and CEO,media,TRUE,FALSE,executive,3,2001
-1,Traded Sectors,Saudi Arabia,Jeraisy Group,new,SAU,1956,TRUE,1.83E+11,male,Consumer,TRUE,Abdul Al Rahman  Al Jeraisy,336,Middle East/North Africa,founder,industrial goods,TRUE,FALSE,founder non-finance,1.5,2001
47,Financial,United Arab Emirates,Al-Ghurair Group,new,ARE,1960,TRUE,1.03E+11,male,Money Management,TRUE,Abdul Aziz Al Ghurair,251,Middle East/North Africa,relation,industrial goods,TRUE,FALSE,inherited,1.9,2001
-1,Financial,Saudi Arabia,Al Rajhi bank,new,SAU,1957,TRUE,1.83E+11,male,Money Management,TRUE,Abdullah Al Rajhi,222,Middle East/North Africa,founder,Banking,TRUE,FALSE,self-made finance,2.1,2001
39,Financial,United States,Fidelity Investments,new,USA,1946,TRUE,1.06E+13,female,Money Management,TRUE,Abigail Johnson,30,North America,relation,investment banking,TRUE,FALSE,inherited,9.1,2001
64,Non-Traded Sectors,Brazil,Companhia Brasileira de Distribui?ao,new,BRA,1948,TRUE,5.6E+11,male,"Retail, Restaurant",TRUE,Abilio dos Santos Diniz,312,Latin America,relation,retail,TRUE,FALSE,inherited,1.6,2001
74,Traded Sectors,Italy,MaxMara,new,ITA,1951,TRUE,1.16E+12,male,Consumer,TRUE,Achille Maramotti,222,Europe,founder,fashion,TRUE,FALSE,founder non-finance,2.1,2001
66,New Sectors,Germany,Ratiopharm,new,DEU,1881,TRUE,1.95E+12,male,Technology-Medical,TRUE,Adolf Merckle,222,Europe,relation,pharmaceuticals,TRUE,FALSE,inherited,2.1,2001
70,Financial,United Kingdom,Swire,new,GBR,1816,TRUE,1.53E+12,male,Diversified financial,TRUE,Adrian Swire,222,Europe,relation,trading company,TRUE,FALSE,inherited,2.1,2001
-1,New Sectors,Japan,Otsuka Holdings,new,JPN,1921,TRUE,4.16E+12,male,Technology-Medical,TRUE,Akihiko Otsuka,251,East Asia,relation,pharmaceuticals,TRUE,FALSE,inherited,1.9,2001
83,Non-Traded Sectors,United States,Univision,aquired,USA,1955,TRUE,0,male,Media,TRUE,A. Jerrold Perenchio,663,North America,former chairman and CEO,media,TRUE,FALSE,executive,2.6,2014
-1,Non-Traded Sectors,United Arab Emirates,Al-Futtaim Group,new,ARE,1930,TRUE,0,male,"Retail, Restaurant",TRUE,Abdulla Al Futtaim,687,Middle East/North Africa,relation,trading,TRUE,FALSE,inherited,2.5,2014
-1,Financial,United Arab Emirates,Al-Ghurair Group,new,ARE,1960,TRUE,0,male,Diversified financial,TRUE,Abdulla bin Ahmad Al Ghurair,305,Middle East/North Africa,relation,industrial goods,TRUE,FALSE,inherited,4.8,2014
-1,Financial,Saudi Arabia,Al Rajhi bank,new,SAU,1957,TRUE,0,male,Money Management,TRUE,Abdullah Al Rajhi,731,Middle East/North Africa,founder,Banking,TRUE,FALSE,self-made finance,2.4,2014
54,Traded Sectors,Nigeria,BUA Group,new,NGA,1988,TRUE,0,male,Consumer,TRUE,Abdulsamad Rabiu,1372,Sub-Saharan Africa,founder,"sugar, flour, cement",TRUE,FALSE,founder non-finance,1.2,2014
52,Financial,United States,Fidelity Investments,new,USA,1946,TRUE,0,female,Money Management,TRUE,Abigail Johnson,50,North America,relation,investment banking,TRUE,FALSE,inherited,17.3,2014
77,Non-Traded Sectors,Brazil,Companhia Brasileira de Distribui?ao,new,BRA,1948,TRUE,0,male,"Retail, Restaurant",TRUE,Abilio dos Santos Diniz,609,Latin America,relation,retail,TRUE,FALSE,inherited,2.8,2014
83,Traded Sectors,Indonesia,Trakindo Utama,new,IDN,1980,TRUE,0,male,Non-consumer industrial,TRUE,Achmad Hamami,1092,East Asia,founder,heavy equipment,TRUE,FALSE,founder non-finance,1.6,2014
71,Traded Sectors,India,Godrej Group,new,IND,1897,TRUE,0,male,Consumer,TRUE,Adi Godrej,446,South Asia,relation,security,TRUE,FALSE,inherited,3.5,2014
44,Traded Sectors,United States,Est?Lauder,new,USA,1946,TRUE,0,female,Consumer,TRUE,Aerin Lauder Zinterhofer,1465,North America,relation,makeup,TRUE,FALSE,inherited,1.1,2014